case,transition_mode,mixer_method,method,theta,theta_over_pi,beta,beta_over_pi,r,P_valid,P_uniform,delta_theta_pi_vs_exp,delta_beta_pi_vs_exp,delta_r_vs_exp,delta_P_vs_exp,W,valid_windows
04_1d_clustered_medium,cost_phase,linear_valid,M1 (sweep),0.1308996938995747,0.041666666666666664,0.1308996938995747,0.041666666666666664,12,0.8512030150741178,0.2857142857142857,-0.20833333333333334,-0.125,10,0.12363066100365194,14,4
04_1d_clustered_medium,cost_phase,linear_valid,M2 (eigen),1.0471975511965976,0.3333333333333333,0.24,0.07639437268410976,2,0.5494762929589958,0.2857142857142857,0.08333333333333331,-0.0902722939825569,0,-0.17809606111147003,14,4
04_1d_clustered_medium,cost_phase,linear_valid,M3 (theory),1.5707963267948966,0.5,0.7853981633974483,0.25,1,0.597140972584495,0.2857142857142857,0.25,0.08333333333333334,-1,-0.1304313814859709,14,4
04_1d_clustered_medium,cost_phase,linear_valid,M4 (grad),0.8860813051366014,0.2820484393876163,1.5704874215670688,0.49990167241208855,2,0.2856221225739492,0.2857142857142857,0.032048439387616305,0.3332350057454219,0,-0.44195023149651663,14,4
04_1d_clustered_medium,cost_phase,linear_valid,M5 (hybrid),0.2617993877991494,0.08333333333333333,0.2617993877991494,0.08333333333333333,60,0.8735805768078663,0.2857142857142857,-0.16666666666666669,-0.08333333333333333,58,0.14600822273740044,14,4
04_1d_clustered_medium,cost_phase,linear_valid,Experimental,0.7853981633974483,0.25,0.5235987755982988,0.16666666666666666,2,0.7275723540704658,0.2857142857142857,0.0,0.0,0,0.0,14,4
04_1d_clustered_medium,cost_phase,rx_all,M1 (sweep),0.916297857297023,0.29166666666666663,0.39269908169872414,0.125,12,0.7432299115169807,0.2857142857142857,0.125,0.0625,-11,0.04283957219613421,14,4
04_1d_clustered_medium,cost_phase,rx_all,M2 (eigen),1.0471975511965976,0.3333333333333333,0.24,0.07639437268410976,23,0.5327402167297733,0.2857142857142857,0.16666666666666666,0.01389437268410976,0,-0.16765012259107315,14,4
04_1d_clustered_medium,cost_phase,rx_all,M3 (theory),1.5707963267948966,0.5,1.1525719972156676,0.3668750612523435,1,0.2374735686118844,0.2857142857142857,0.33333333333333337,0.3043750612523435,-22,-0.4629167707089621,14,4
04_1d_clustered_medium,cost_phase,rx_all,M4 (grad),1.0911293508133886,0.3473172594692031,0.5235987755982989,0.16666666666666669,23,0.24060954646386312,0.2857142857142857,0.18065059280253648,0.10416666666666669,0,-0.45978079285698337,14,4
04_1d_clustered_medium,cost_phase,rx_all,M5 (hybrid),0.5563236990731925,0.17708333333333331,0.3272492347489368,0.10416666666666667,51,0.8014832021783245,0.2857142857142857,0.010416666666666656,0.04166666666666667,28,0.10109286285747798,14,4
04_1d_clustered_medium,cost_phase,rx_all,Experimental,0.5235987755982988,0.16666666666666666,0.19634954084936207,0.0625,23,0.7003903393208465,0.2857142857142857,0.0,0.0,0,0.0,14,4
05_1d_long_clustered_blocks,cost_phase,local_geometric,M1 (sweep),0.1308996938995747,0.041666666666666664,0.19634954084936207,0.0625,12,0.8900705272496172,0.3793103448275862,-0.125,-0.0875,9,0.13776048592589607,29,11
05_1d_long_clustered_blocks,cost_phase,local_geometric,M2 (eigen),0.7853981633974483,0.25,0.18,0.05729577951308232,3,0.5553935979960123,0.3793103448275862,0.08333333333333334,-0.09270422048691768,0,-0.19691644332770886,29,11
05_1d_long_clustered_blocks,cost_phase,local_geometric,M3 (theory),1.5707963267948966,0.5,0.49934672168013006,0.1589469981442512,1,0.590991734570928,0.3793103448275862,0.33333333333333337,0.008946998144251202,-2,-0.16131830675279313,29,11
05_1d_long_clustered_blocks,cost_phase,local_geometric,M4 (grad),1.0081362796837097,0.3208997444438718,1.5680122621085482,0.49911380468656014,3,0.3797951144130889,0.3793103448275862,0.15423307777720513,0.3491138046865601,0,-0.37251492691063226,29,11
05_1d_long_clustered_blocks,cost_phase,local_geometric,M5 (hybrid),0.06544984694978735,0.020833333333333332,0.13089969389957473,0.04166666666666667,21,0.9215975440186213,0.3793103448275862,-0.14583333333333331,-0.10833333333333332,18,0.16928750269490012,29,11
05_1d_long_clustered_blocks,cost_phase,local_geometric,Experimental,0.5235987755982988,0.16666666666666666,0.47123889803846897,0.15,3,0.7523100413237211,0.3793103448275862,0.0,0.0,0,0.0,29,11
05_1d_long_clustered_blocks,cost_phase,linear_valid,M1 (sweep),0.1308996938995747,0.041666666666666664,0.19634954084936207,0.0625,12,0.8900705272496172,0.3793103448275862,-0.125,-0.08333333333333333,9,0.13901966739312577,29,11
05_1d_long_clustered_blocks,cost_phase,linear_valid,M2 (eigen),0.7853981633974483,0.25,0.18,0.05729577951308232,3,0.5553935979960123,0.3793103448275862,0.08333333333333334,-0.08853755382025101,0,-0.19565726186047916,29,11
05_1d_long_clustered_blocks,cost_phase,linear_valid,M3 (theory),1.5707963267948966,0.5,0.49934672168013006,0.1589469981442512,1,0.590991734570928,0.3793103448275862,0.33333333333333337,0.013113664810917875,-2,-0.16005912528556343,29,11
05_1d_long_clustered_blocks,cost_phase,linear_valid,M4 (grad),1.0081362796837097,0.3208997444438718,1.5680122621085482,0.49911380468656014,3,0.3797951144130889,0.3793103448275862,0.15423307777720513,0.3532804713532268,0,-0.37125574544340256,29,11
05_1d_long_clustered_blocks,cost_phase,linear_valid,M5 (hybrid),0.06544984694978735,0.020833333333333332,0.13089969389957473,0.04166666666666667,21,0.9215975440186213,0.3793103448275862,-0.14583333333333331,-0.10416666666666666,18,0.1705466841621298,29,11
05_1d_long_clustered_blocks,cost_phase,linear_valid,Experimental,0.5235987755982988,0.16666666666666666,0.4581489286485115,0.14583333333333331,3,0.7510508598564914,0.3793103448275862,0.0,0.0,0,0.0,29,11
05_1d_long_clustered_blocks,cost_phase,rx_all,M1 (sweep),0.6544984694978735,0.20833333333333331,0.19634954084936207,0.0625,27,0.7266459557633891,0.3793103448275862,0.0,0.0,25,0.04420326875463321,29,11
